Entity,Code,Year,"Deaths from cardiovascular diseases per 100,000 people in, both sexes aged less than 1 year","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 1-4 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 5-9 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 10-14 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 15-19 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 20-24 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 25-29 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 30-34 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 35-39 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 40-44 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 45-49 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 50-54 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 55-59 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 60-64 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 65-69 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 70-74 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 75-79 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged 80-84 years","Deaths from cardiovascular diseases per 100,000 people in, both sexes aged over 85 years"
Albania,ALB,1987,6.203474,13.636364,1.8012608,1.8981335,6.443299,6.1601644,12.508687,13.130898,16.277807,36.376606,71.830986,180.38237,346.7742,621.447,1063.3694,2375,3824.6753,5753.012,12110
Albania,ALB,1988,7.29927,13.369901,5.002943,2.4813895,6.946637,6.709158,7.8337874,14.475271,22.872341,37.037037,76.657455,149.95924,303.65973,636.70886,1140.909,2331.7307,4206.349,5431.9526,12126.214
Albania,ALB,1989,1.2004802,12.842176,2.6117237,1.8348624,5.6057305,5.95435,8.733624,17.44647,22.560335,38.62069,62.627636,155.82329,301.4634,620.4744,1192.8251,2293.8389,4514.1064,6313.9536,11115.385
Albania,ALB,1992,10.825439,11.232131,4.1470833,1.7756733,5.464481,11.014052,16.19121,18.934912,21.769339,39.621525,74.52574,155.62175,261.44366,641.50946,961.9718,1961.7706,3095.238,6144.509,9017.094
Albania,ALB,1993,143.71257,18.758526,5.1841745,4.988263,7.4231176,10.17501,16.914192,15.631263,25.698828,39.795338,57.588078,140.23495,247.21985,526.2594,717.84235,1828.8462,2794.6428,5413.613,8907.407
Albania,ALB,1994,109.53059,13.81509,5.3777895,3.7757769,6.0219626,6.597938,11.720386,13.40694,17.649591,37.25702,53.691277,115.99424,197.1831,450.4132,795.6698,1677.6556,2548.9614,4263.1577,8363.637
Albania,ALB,1995,162.16216,23.991276,6.627784,3.4482758,6.713781,14.894497,10.530749,11.560694,15.612161,37.13123,63.787376,113.5402,268.42947,486.59384,989.404,1768.2927,3032.4485,4851.3516,12581.633
Albania,ALB,1996,134.5853,24.381498,3.4031413,3.4042554,6.6317625,7.761438,15.39742,9.128946,24.646465,32.306915,67.585304,131.6156,236.55063,533.3333,1155.3525,1872.4138,3343.0232,5276.7856,13846.938
Albania,ALB,1997,9.771987,11.558669,2.845318,2.5231287,4.8225975,9.673519,14.778325,11.641006,23.543495,37.387836,58.937824,110.117,215.7936,479.65115,907.0968,1666.0988,3528.7356,4674.009,11980
Albania,ALB,1998,50.986843,15.663938,6.1334014,3.0479357,8.174387,11.164274,13.809911,13.729128,20.496649,40.86657,83.173386,102.58152,229.93828,498.5646,1019.1083,1989.899,3934.6592,4506.5503,14170
