Entity,Continents,Code,Year,"Cardiovascular diseases per 100,000 people, in both sexes aged all ages"
Albania,Europe,ALB,1987,331.37842
Albania,Europe,ALB,1988,333.6215
Albania,Europe,ALB,1989,339.1301
Albania,Europe,ALB,1992,289.6585
Albania,Europe,ALB,1993,264.37045
Albania,Europe,ALB,1994,236.3284
Albania,Europe,ALB,1995,290.53366
Albania,Europe,ALB,1996,314.9575
Albania,Europe,ALB,1997,281.10385
Albania,Europe,ALB,1998,314.32132
Albania,Europe,ALB,1999,288.9499
Albania,Europe,ALB,2000,349.8244
Albania,Europe,ALB,2001,277.15262
Albania,Europe,ALB,2002,298.93408
Albania,Europe,ALB,2003,328.60852
Albania,Europe,ALB,2004,312.56067
Albania,Europe,ALB,2005,294.53677
Albania,Europe,ALB,2006,281.12512
Albania,Europe,ALB,2007,239.36775
Albania,Europe,ALB,2008,279.01453
Albania,Europe,ALB,2009,264.95486
Albania,Europe,ALB,2010,184.45703
Antigua and Barbuda,North America,ATG,1961,378.4812
Antigua and Barbuda,North America,ATG,1962,381.81592
Antigua and Barbuda,North America,ATG,1963,401.75586
Antigua and Barbuda,North America,ATG,1964,357.03195
Antigua and Barbuda,North America,ATG,1966,470.8961
Antigua and Barbuda,North America,ATG,1969,318.32715
Antigua and Barbuda,North America,ATG,1970,554.5336
Antigua and Barbuda,North America,ATG,1971,565.9357
Antigua and Barbuda,North America,ATG,1972,597.7632
Antigua and Barbuda,North America,ATG,1973,579.50885
Antigua and Barbuda,North America,ATG,1974,628.1369
Antigua and Barbuda,North America,ATG,1975,587.698
Antigua and Barbuda,North America,ATG,1976,617.3869
Antigua and Barbuda,North America,ATG,1977,573.5276
Antigua and Barbuda,North America,ATG,1978,408.92725
Antigua and Barbuda,North America,ATG,1983,269.01956
Antigua and Barbuda,North America,ATG,1985,337.97183
Antigua and Barbuda,North America,ATG,1986,308.56305
Antigua and Barbuda,North America,ATG,1987,334.39246
Antigua and Barbuda,North America,ATG,1988,362.64005
Antigua and Barbuda,North America,ATG,1989,264.45505
Antigua and Barbuda,North America,ATG,1990,302.57874
Antigua and Barbuda,North America,ATG,1991,265.8481
Antigua and Barbuda,North America,ATG,1992,306.7622
Antigua and Barbuda,North America,ATG,1993,298.78052
Antigua and Barbuda,North America,ATG,1994,266.757
Antigua and Barbuda,North America,ATG,1995,268.94742
Antigua and Barbuda,North America,ATG,1998,282.2647
Antigua and Barbuda,North America,ATG,1999,294.9562
Antigua and Barbuda,North America,ATG,2000,213.94537
Antigua and Barbuda,North America,ATG,2001,235.6646
Antigua and Barbuda,North America,ATG,2002,215.96507
Antigua and Barbuda,North America,ATG,2003,257.58002
Antigua and Barbuda,North America,ATG,2004,238.383
Antigua and Barbuda,North America,ATG,2005,255.59813
Antigua and Barbuda,North America,ATG,2006,221.31737
