Row Labels,Sum of Maternal Disorders,Sum of Meningitis,Sum of Alzheimer's Disease and Other Dementias,Sum of Parkinson's Disease,Sum of Nutritional Deficiencies,Sum of Malaria,Sum of Drowning,Sum of Interpersonal Violence,Sum of HIV/AIDS,Sum of Drug Use Disorders,Sum of Tuberculosis,Sum of Cardiovascular Diseases,Sum of Lower Respiratory Infections,Sum of Neonatal Disorders,Sum of Alcohol Use Disorders,Sum of Self-harm,Sum of Exposure to Forces of Nature,Sum of Diarrheal Diseases,Sum of Environmental Heat and Cold Exposure,Sum of Neoplasms,Sum of Conflict and Terrorism,Sum of Diabetes Mellitus,Sum of Chronic Kidney Disease,Sum of Poisonings,Sum of Protein-Energy Malnutrition,Sum of Road Injuries,Sum of Chronic Respiratory Diseases,Sum of Digestive Diseases,Sum of Cirrhosis and Other Chronic Liver Diseases,"Sum of Fire, Heat, and Hot Substances",Sum of Acute Hepatitis
Afghanistan,129621,78666,41998,13397,71453,13924,56536,108228,4282,7094,147637,1607042,822179,697534,3257,37054,16770,245832,2187,469611,280520,93207,134676,14530,70163,208331,209857,186959,98419,13559,98108
Albania,246,1323,16549,4491,569,0,2397,5242,57,634,593,270603,26402,15567,458,4587,89,677,164,102577,2145,4055,7636,500,526,8522,22632,14907,8717,636,44
Algeria,29475,15685,86914,22943,7138,70,24273,16702,6101,10612,18089,2123720,179379,395714,2748,44966,4032,34410,1041,469379,30947,89035,154666,12337,6407,369395,168453,146527,91927,27628,10492
American Samoa,30,30,143,69,60,0,120,101,15,0,30,2851,328,246,17,100,41,89,25,1474,10,970,512,0,60,164,612,341,181,0,0
Andorra,0,0,614,137,0,0,0,15,85,0,0,3526,390,24,30,220,0,16,0,5015,0,198,292,0,0,259,838,560,283,0,30
Angola,61545,110893,17704,4486,235181,317069,34337,20795,244358,1190,473636,525047,564508,554921,4289,40895,742,810148,3520,237225,54203,73366,49080,14022,229863,241350,101847,190974,119381,15712,14431
Antigua and Barbuda,0,40,428,117,87,0,120,119,258,6,11,5264,779,253,138,65,39,62,0,3004,1,1329,693,8,84,187,246,566,301,60,0
Argentina,12521,17548,261721,68278,44066,123,24300,72506,48615,1535,30389,2836128,697414,173947,27147,127809,425,23155,1567,2113666,773,278201,357513,8654,41935,172081,463952,422716,201480,20991,1732
Armenia,377,423,15714,3739,817,5,4519,5250,264,225,3830,388635,18723,14572,2592,6308,13,3402,4172,154102,357,34565,7571,1182,324,10213,35416,38666,24100,2944,154
Australia,497,1975,210625,48084,3778,0,6818,9659,6067,23866,2554,1441279,87541,19244,13171,78158,259,3949,1272,1222858,55,100026,94106,1417,2899,57136,251004,146403,50555,4013,288
Austria,113,1152,101351,23665,239,0,2406,2334,2005,4841,2251,1031672,34197,5440,11262,46764,336,1495,923,624487,30,59349,56142,822,40,24587,85450,105037,60850,1553,98
Azerbaijan,1611,4272,25190,7147,2151,32,13279,19861,1152,833,30739,1026714,146930,82492,6620,9604,208,17970,4232,263680,5883,44141,29145,2991,1653,24840,57915,102820,78289,14459,1385
Bahamas,109,123,1167,323,170,0,714,2437,4845,43,242,18249,2208,1071,379,278,107,147,30,11673,15,3203,2086,36,144,1751,1053,2655,1401,297,9
Bahrain,167,113,1015,331,109,0,384,697,276,59,360,25731,1594,2052,116,1897,0,263,17,13173,58,9552,2804,58,103,4618,3538,3968,2411,371,106
Bangladesh,314015,94565,227497,75527,702268,349375,711803,112401,4434,6583,1441614,6123691,2062670,2772388,7907,260847,155003,1579876,4791,2064156,3456,597943,282841,15411,599026,249894,1750541,1250266,768520,47594,166599
Barbados,59,134,2385,597,255,0,349,902,1189,24,70,23478,3911,885,173,398,3,170,0,17933,10,7606,2496,19,175,952,1451,2710,1124,146,9
Belarus,614,2989,83681,16259,1775,0,37908,33747,7361,8320,17232,2310287,40752,12194,77811,100503,43,814,27053,631190,104,17117,12560,17426,912,60793,131458,118136,61628,24666,775
Belgium,232,1691,138986,30009,7089,0,2770,5780,2996,4941,3692,1037826,152118,7634,11944,68836,44,15117,1402,921997,165,52810,62771,1636,6140,41391,209375,153724,59178,4190,257
Belize,114,101,855,205,393,5,607,1935,1842,21,417,9582,2590,2127,175,525,64,442,0,5367,54,2757,1792,60,361,1785,1325,1902,1151,107,11
Benin,34853,69978,13464,3804,44748,316834,11517,16162,80892,261,79509,246509,271088,321322,1401,14955,122,196720,1751,101713,31,29925,33309,5654,43399,45197,44797,79638,46718,7791,6281
Bermuda,0,10,562,170,6,0,72,63,313,33,0,5384,418,64,30,94,6,11,0,4156,0,615,391,5,0,258,400,516,233,0,0
